LeadSource,Cost,Total Gross,ROI,Month
AutoTrader,"$4,350","$12,691.00",191.75%,Feburary 2022
Formatic Ads,"$4,000","$9,555.00",138.87%,Feburary 2022
CarGurus,"$2,500","$2,210.00",-11.57%,Feburary 2022
AutoTrader,"$4,350","$11,167.00",156.71%,March 2022
Formatic Ads,"$4,000","$14,844.00",271.12%,March 2022
CarGurus,"$2,500","$8,628.00",245.14%,March 2022
AutoTrader,"$4,350","$9,967.00",129.00%,April 2022
Formatic Ads,"$4,000","$29,496.00",637.00%,April 2022
CarGurus,"$2,500","$20,918.00",736.00%,April 2022
AutoTrader,"$4,350","$7,149.00",64.00%,May 2022
Formatic Ads,"$4,000","$25,702.00",542.00%,May 2022
CarGurus,"$2,500","$21,699.00",767.00%,May 2022
AutoTrader,"$4,350","$6,659.00",53.00%,June 2022
Formatic Ads,"$4,000",$0.00,0.00%,June 2022
CarGurus,"$2,500","$19,057.00",662.00%,June 2022
AutoTrader,"$4,350","$10,460.00",140.00%,July 2022
Formatic Ads,"$4,000",$0.00,0.00%,July 2022
CarGurus,"$2,500","$23,876.00",855.00%,July 2022
AutoTrader,"$4,350","$17,643.00",305.00%,August 2022
Formatic Ads,"$4,000",$0.00,0.00%,August 2022
CarGurus,"$2,500","$26,250.00",950.00%,August 2022
AutoTrader,"$4,350","$26,721.00",514.00%,September 2022
Formatic Ads,"$4,500","$17,923.00",232.00%,September 2022
CarGurus,"$2,500","$5,086.00",103.00%,September 2022
AutoTrader,"$4,350","$25,198.00",479.00%,October 2022
Formatic Ads,"$4,500","$11,206.00",149.00%,October 2022
CarGurus,"$2,500","$10,755.00",330.00%,October 2022
AutoTrader,"$4,350","$8,501.00",95.00%,November 2022
Formatic Ads,"$4,500","$19,203.00",327.00%,November 2022
CarGurus,"$2,500","$7,917.00",188.00%,November 2022
AutoTrader,"$4,350",$0.00,0.00%,December 2022
Formatic Ads,"$4,500",$0.00,0.00%,December 2022
CarGurus,"$2,500",$0.00,0.00%,December 2022
AutoTrader,"$4,350","$30,658.00",604.00%,January 2023
Formatic Ads,"$4,500","$15,661.00",248.00%,January 2023
CarGurus,"$2,500","$16,983.00",579.00%,January 2023
AutoTrader,"$4,350","$5,399.00",24.11%,February 2023
Formatic Ads,"$4,500","$11,079.00",146.20%,February 2023
CarGurus,"$2,500","$12,184.00",387.36%,February 2023
AutoTrader,"$4,350","$20,923.00",381.00%,March 2023
Formatic Ads,"$4,500","$17,898.00",297.00%,March 2023
CarGurus,"$2,500","$22,622.00",804.00%,March 2023
AutoTrader,"$4,350","$12,246.48",181.53%,April 2023
Formatic Ads,"$4,500","$21,735.45",383.01%,April 2023
CarGurus,"$2,500","$15,672.11",526.88%,April 2023
AutoTrader,"$4,350","$20,967.45",382.01%,May 2023
Formatic Ads,"$4,500","$7,303.28",62.30%,May 2023
CarGurus,"$2,500","$15,842.73",533.71%,May 2023
AutoTrader,"$4,350","$6,188.19",42.26%,June 2023
Formatic Ads,"$4,500","$4,436.08",-1.42%,June 2023
CarGurus,"$2,500","$15,692.09",527.68%,June 2023
AutoTrader,"$4,350","$19,938.33",358.35%,July 2023
Formatic Ads,"$4,500","$6,680.06",48.45%,July 2023
CarGurus,"$2,500","$7,316.08",192.64%,July 2023
AutoTrader,"$4,350","$19,141.00",340.03%,August 2023
Formatic Ads,"$4,500","$4,466.00",-0.75%,August 2023
CarGurus,"$2,500","$30,113.00",1104.53%,August 2023
AutoTrader,"$4,350.00","$16,645.32",282.65%,September 2023
Formatic Ads,"$4,500.00","$6,070",34.89%,September 2023
CarGurus,"$2,500.00","$1,899.58",-24.02%,September 2023
AutoTrader,"$4,350","$15,026.24",245.43%,October 2023
Formatic Ads,"$4,500","$4,695.28",4.34%,October 2023
CarGurus,"$2,500","$24,703.83",888.15%,October 2023
DealerTeamwork,"$30,000","$30,655.68",2.19%,October 2023
AutoTrader,"$4,350","$9,341.63",273.67%,November 2023
Formatic Ads,"$4,500","$4,039.05",-10.24%,November 2023
CarGurus,"$2,500","$15,990.60",267.60%,November 2023
DealerTeamwork,"$36,795","$22,214.76",-39.63%,November 2023
AutoTrader,"$4,350","$13,713",215.25%,December 2023
Formatic Ads,"$4,500","$3,987",-11.40%,December 2023
CarGurus,"$2,500","$4,582",83.29%,December 2023
DealerTeamwork,"$36,859","$22,593",-38.70%,December 2023
AutoTrader,"$4,350","$5,655.04",30%,January 2024
CarGurus,"$2,500","$12,249.53",390%,January 2024
Formatic Ads,"$4,500","$1,247.92",-72%,January 2024
DealerTeamwork,"$36,859","$13,727.17",-63%,January 2024
AutoTrader,"$4,350","$10,907.25",150.74%,February 2024
CarGurus,"$2,500","$9,883.30",295.33%,February 2024
Formatic Ads,"$4,500","$4,148.00",-7.82%,February 2024
DealerTeamwork,"$36,859","$26,962.00",-26.85%,February 2024
AutoTrader,"$4,350","$8,024.21",84.46%,March 2024
CarGurus,"$2,500","$13,412.10",436.48%,March 2024
DealerTeamwork,"$36,859","$42,030.93",14.03%,March 2024
AutoTrader,"$4,350","$10,114.88",132.53%,April 2024
CarGurus,"$2,500","$8,175.21",227.01%,April 2024
DealerTeamwork,"$25,674","$58,032.79",126.04%,April 2024
